point,alpha,c
[0.69916667 0.        ],0.9710081777846504,0.0621312716199425
[0.6975 0.    ],0.9687225480286706,0.06231514508121223
[0.69583333 0.        ],0.9661789370368491,0.06246015784776868
[0.69416667 0.        ],0.9633400779089398,0.06255928461384239
[0.6925 0.    ],0.960166112057395,0.06260518719022239
[0.69083333 0.        ],0.9565971686427159,0.06258643671929227
[0.68916667 0.        ],0.952562795069529,0.06248966272019689
[0.6875 0.    ],0.9479812417620379,0.062299608171460075
[0.68583333 0.        ],0.9427490994806539,0.06199701702144977
[0.68416667 0.        ],0.9367306594333487,0.06155700379288663
[0.6825 0.    ],0.929762769465229,0.060950608243145354
[0.68083333 0.        ],0.9216205942353892,0.060138655742677495
[0.67916667 0.        ],0.9120154098577816,0.05907319007676015
[0.6775 0.    ],0.9005479932818636,0.05769095060470115
[0.67583333 0.        ],0.8866665850915135,0.0559104139447431
[0.67416667 0.        ],0.8695796997731011,0.05362464200240493
[0.6725 0.    ],0.8481247189709598,0.05069510004900855
[0.67083333 0.        ],0.8205635866959964,0.04695023912222285
[0.66916667 0.        ],0.7844402744242094,0.042225498912195035
[0.6675 0.    ],0.7374040261978043,0.036565650218710014
[0.3325 0.    ],0.7374037184992879,0.036565609313634215
[0.33083333 0.        ],0.7844401860029837,0.042225489445628026
[0.32916667 0.        ],0.8205636282684946,0.04695025052963506
[0.3275 0.    ],0.8481247508235378,0.0506951075726883
[0.32583333 0.        ],0.8695797734328208,0.05362466045413837
[0.32416667 0.        ],0.8866663390820968,0.055910365874340985
[0.3225 0.    ],0.9005483780161566,0.05769102831446108
[0.32083333 0.        ],0.9120153217316117,0.059073155962264215
[0.31916667 0.        ],0.9216207963959581,0.06013870067052955
[0.3175 0.    ],0.9297625685827582,0.06095056430136648
[0.31583333 0.        ],0.9367306218613607,0.061556983556287415
[0.31416667 0.        ],0.9427490504505998,0.06199700277263462
[0.3125 0.    ],0.9479817105507418,0.06229968709846778
[0.31083333 0.        ],0.9525635301505914,0.06248982142998278
[0.30916667 0.        ],0.956597172145647,0.06258641844270907
[0.3075 0.    ],0.9601641195536426,0.06260471451034404
[0.30583333 0.        ],0.9633403787635771,0.06255933795327624
[0.30416667 0.        ],0.9661796939171172,0.06246031801350747
[0.3025 0.    ],0.96872296756286,0.062315250371089405
[0.30083333 0.        ],0.9710080814963213,0.0621312500754186
[0.29916667 0.        ],0.9730691905468454,0.061914733757680064
[0.2975 0.    ],0.9749358743274079,0.06167124109770875
[0.29583333 0.        ],0.9766322392538904,0.06140518443258796
[0.29416667 0.        ],0.9781768434840267,0.06111989907088078
[0.2925 0.    ],0.979584961033054,0.06081796392594016
[0.29083333 0.        ],0.9808698289169911,0.060501573063325424
[0.28916667 0.        ],0.9820508703467389,0.06017437659429272
[0.2875 0.    ],0.9831286770634758,0.059835979853384694
[0.28583333 0.        ],0.9841254184390629,0.059490569885599594
[0.28416667 0.        ],0.9850422956504957,0.05913789247337044
[0.2825 0.    ],0.9858867664397891,0.0587792094476066
[0.28083333 0.        ],0.9866714909656218,0.05841665917494262
[0.27916667 0.        ],0.9874008578013257,0.05805069981575741
[0.2775 0.    ],0.9880784665092819,0.05768173222585912
[0.27583333 0.        ],0.9887078782104792,0.05731017332242352
[0.27416667 0.        ],0.9892923335007529,0.056936349324182074
[0.2725 0.    ],0.9898357999185636,0.05656083706880818
